,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,min_salary,max_salary,avg_salary,Company_txt,Job_State,age_of_company,python_yn,sql_yn,excel_yn,spark_yn,aws_yn,job_simp,seniority,job_state,desc_len
0,Data Scientist,$60K - $140K (Employer est.),"We are looking for junior, mid-level or senior-level data scientists with the following:
Demonstrated software development experience with Python in a Unix environment.
Practical knowledge in Python Machine Learning and Data Visualization
Practical knowledge in Data ETL such as working with: Data loading from SQL, CSV, JSON, Excel, etc., Web scraping (Beautiful Soup, Scrapy, etc.) and Data Wrangling/Cleaning
Experience using the Unix command line.
Proficiency in statistical packages using any of the following: Python, R, STATA, SPSS, etc.",-1.0,Tech brothers infoservices,Remote,Unknown,-1,Company - Public,unknown,unknown,Unknown / Non-Applicable,60,140,100.0,Tech brothers infoservices,Remote,-1,1,1,1,0,0,data scientist,na,Remote,544
1,Data Scientist,$60K - $140K (Employer est.),"Description: Would you like to join a rapidly growing and successful company?Do you want to be a part of a team where customers say things like:“I am amazed by how innovative this product is!”

Headquartered in Clifton, NJ, ClassLink is a leading education technology company serving schools around the world.
ClassLink empowers over 20 million students and staff with instant access to a library of 6,000+ single sign-on apps from in the classroom or at home.
ClassLink Analytics provides essential usage data, so instructors can measure engagement and leaders can make informed purchasing and training decisions.
ClassLink Roster Server and OneSync use automation and open standards to make rostering and provisioning easier, more secure, and less time-consuming
Requirements:",4.3,"ClassLink, Inc.
4.3",Remote,Unknown,-1,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,60,140,100.0,"ClassLink, Inc.",Remote,-1,0,0,0,0,0,data scientist,na,Remote,778
2,Data Scientist,$60K - $140K (Employer est.),"Do you have a passion for data science, machine learning and AI ? Do you want to apply it to protect millions of customers using Microsoft online services from threat actors around the globe ? Are you curious, analytical, and motivated by new challenges? If so, we would like to hear from you!

The Microsoft Security Response Center team (MSRC) is seeking a Data Scientist to meet the growing demand and challenges of cybersecurity and threat protection. As a Data Dcientist on our team, you will partner with our engineers, other data scientists, and researchers to experiment, design, build, and deploy statistical, machine learning, and AI models to protect the Microsoft Cloud against known and emerging cyberattacks. In your day-to-day work, you will perform data analysis on big data, find useful insights, perform hypothesis testing, experiment with models, vet experiments, incorporate quality monitors, and ship successful models to productions.

You will have the opportunity to collaborate with partners across Microsoft who have decades of security, research, and ML expertise and the tools and technologies to grow your expertise in this field.








Microsoft is an equal opportunity employer. Consistent with applicable law, all qualified applicants will receive consideration for employment without regard to age, ancestry, citizenship, color, family or medical care leave, gender identity or expression, genetic information, immigration status, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran or military status, race, ethnicity, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable local laws, regulations and ordinances. If you need assistance and/or a reasonable accommodation due to a disability during the application process, read more about requesting accommodations.",4.3,"Microsoft
4.3","Cambridge, MA",10000+ Employees,1975,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD),60,140,100.0,Microsoft,MA,48,0,0,0,0,1,data scientist,na,MA,1926
3,Data Scientist,$60K - $140K (Employer est.),"Roles & Responsibilities: Provides support of Artificial Intelligence (AI), to include machine learning, to analyze data for accuracy, authenticity, expectancy, timeliness, relevancy, intelligence gaps, and viability. Identifies and develops innovative investigative, statistical, and predictive value of DEA’s data holdings by evaluating through data analysis and integration. Interprets results from multiple sources using a variety of techniques, ranging from simple data aggregation via statistical analysis to complex data mining. Prepares big data, implements data models, and develops databases to support the business solutions. Works on complex technical projects or business issues requiring state of the art technical or industry knowledge. Develops, deploys, and manages statistical, unsupervised, and supervised Learning Data Models with accuracy, precision, and sensitivities. Performs mathematical/statistician modeling to organize, optimize, model, research, mine, and predict new data. Identifies accuracies, precision, and sensitivities. Validates machine learning with statistical modeling. Designs algorithms such as neural networks, decision trees, and surrogate models. Uses Data Lakes, chunking, large file shares, or increased time limits for storage needs; uses serverless computing like Athena/Lambda to handle concurrency, or increased time limits; and uses extract, transform, load standard data formats, or parsing due to lack of infrastructure.",-1.0,Ai Vantage,Remote,Unknown,-1,Company - Public,unknown,unknown,Unknown / Non-Applicable,60,140,100.0,Ai Vantage,Remote,-1,0,0,0,0,0,data scientist,na,Remote,1474
4,Data Scientist,$60K - $140K (Employer est.),"Who May Apply

Job Opening: 46673. Job Posting Title: Data Scientist Open to ALL U.S. Citizens. Are you interested in a career supporting investigative and intelligence operations at America’s premier national security and law enforcement agency? Do you have experience or the desire to provide program support in the areas of data research and analysis? As a Data Scientist you will serve as a business innovator and provide support to law enforcement, national security and administrative functions across the FBI. Data Scientists will use scientific and mathematical processes to convert large datasets into more efficient databases for business needs.",4.1,"Federal Bureau of Investigation
4.1","Washington, DC",10000+ Employees,1908,Government,National Agencies,Government & Public Administration,Unknown / Non-Applicable,60,140,100.0,Federal Bureau of Investigation,DC,115,0,0,0,0,0,data scientist,na,DC,655
5,Data Scientist,$60K - $140K (Employer est.),"Data Scientist – Contractor
Kaizen Analytix LLC is an analytics services company seeking a qualified Data Science Contractor. Responsibilities and job requirements are below. This role requires an estimated 40 hours/week commitment for 4 months.
Responsibilities:
Work with a client team on performing and implementing high quality, sophisticated analysis in support of client engagements
Apply multi-variable, complex statistical analysis on large data sets to gain useful insights into the data, detect trends and outliers/invalid data conditions present in the data sets
Develop custom scalable and sustainable integrated mathematical models by leveraging Python skills",3.4,"Kaizen Analytix
3.4",Remote,1 to 50 Employees,-1,Company - Private,Business Consulting,Management & Consulting,Unknown / Non-Applicable,60,140,100.0,Kaizen Analytix,Remote,-1,1,0,0,0,0,data scientist,na,Remote,672
6,Data Analyst/Data Scientist,$60K - $140K (Employer est.),"Greetings
I am seeking for technical consultant like you or someone in your network who may be interested in the opportunity below.
I am currently seeking to fill IT Analyst (Data Analyst)/Data Scientist for one of our direct client and this position is (100% REMOTE) model role. Consultant Support Proven experience in data analysis and ability to write queries and visualize data and Expert level experience in Splunk, Power BI, and SQL/SSRS.
If you are a team player that is eager to support a growing organization while contributing to company success, apply today!
If you are interested in this opportunity, please send me your updated resume and a good time to connect today!",-1.0,SMK Soft Inc,Remote,-1,-1,unknown,unknown,unknown,-1,60,140,100.0,SMK Soft Inc,Remote,-1,0,1,0,0,0,data scientist,na,Remote,681
7,data scientist - multiple openings,$60K - $140K (Employer est.),"Now Brewing – Data Scientist! #tobeapartner
From the beginning, Starbucks set out to be a different kind of company. One that not only celebrated coffee and the rich tradition, but that also brought a feeling of connection. We are known for developing extraordinary leaders who share this passion and are guided by their service to others.
As a Data Scientist on the Data, Analytics, Insights, and Business Operations team, you will work cross-functionally with data engineers, data scientists, business experts, and external vendors to help Starbucks make decisions better by using data and analytics. You will use your experience with forecasting, automating ETL processes, and designing and building analytical models using structured or unstructured data. You will work directly with business partners and technology teams from problem identification to solution. You will quickly become an expert in one of our key business and data domains (Supply Chain, People Analytics, Marketing, or Store) and work cross functionally in an analytics center of excellence to improve existing processes or analytical approaches",3.7,"Starbucks
3.7",United States,10000+ Employees,1971,Company - Public,Restaurants & Cafes,Restaurants & Food Service,$10+ billion (USD),60,140,100.0,Starbucks,United States,52,0,0,1,0,0,data scientist,na,USA,1119
8,Junior Data Scientist,$60K - $140K (Employer est.),"Background:
DonorSearch is the leading provider of prospect research solutions and AI-powered technologies, serving over 6,800 nonprofit organizations across the US. We are family-owned, headquartered in Maryland, and have a rapidly-growing remote workforce in every U.S. timezone. With our outstanding reputation and team of innovative professionals, we seek someone to join us to expand our brand and make a lasting impact on the world.
At DonorSearch, we value: Innovation, Excellence, Growth, Collaboration, and Quality.
Job Summary:
DonorSearch Ai introduced deep learning and machine learning into the nonprofit sector by building custom models with a robust interactive visualization tool to help organizations fundraise more efficiently. The Data Scientist will use best-in-class machine learning technologies to develop machine learning algorithms to meet various objectives of fundraising staff.",3.8,"DonorSearch
3.8",Remote,1 to 50 Employees,-1,Company - Public,Accounting & Tax,Financial Services,Unknown / Non-Applicable,60,140,100.0,DonorSearch,Remote,-1,0,0,1,0,0,data scientist,na,Remote,905
9,"Data Scientist (Omics data analysis (genetics, genomics and proteomics))",$60K - $140K (Employer est.),"Job Description:
Responsibilities:
Project involves developing multi-omics directed graph networks based on causal inference framework based on multiple data types (e.g., clinical, RNA-seq, epigenetic, proteomic, and/or genetic data).
Skills:
Must be expert in at least one area of causal inference such as interpretable machine learning or data fusion problem, e.g., to reduce space of plausible causal relationships and how data from multiple sources can be combined to make causal inferences.
Experience with machine learning in the context of causal inference, so that the predictive models are more than just a black box, is strongly desired.",3.7,"Tellus Solutions
3.7",Remote,51 to 200 Employees,2006,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),60,140,100.0,Tellus Solutions,Remote,17,0,0,0,0,0,data scientist,na,Remote,647
